Carimbo de data/hora,Você concorda em participar desta pesquisa e autoriza o uso das suas respostas de forma anônima exclusivamente para fins acadêmicos?  ,Qual é a sua faixa etária?,Como você se identifica em relação ao gênero? ,Em que período do curso você está? ,Qual é o seu curso?,Você pratica alguma atividade física regularmente?,Quantas atividades físicas diferentes você pratica regularmente? ,Qual o tipo principal de atividade física que você pratica?,Quantos dias por semana você pratica atividade física?,"Em média, quantas horas por semana você dedica à atividade física? ","Quanto tempo você leva, em média, para se deslocar até o local de prática (em minutos)?  ",Qual é o principal motivo para você praticar atividade física?  ,"Caso não pratique atividade física, qual o principal motivo?"
16/05/2026 13:08:46,"Sim, concordo em participar",18-20 anos,Mulher,3º,Psicologia,Sim,2,"Musculação, Esporte Coletivos(futebol, Voleibol, basquete, etc.)",4,7-8 horas,20-30 minutos,"Saúde, Estética, Lazer, Redução de estresse",
16/05/2026 13:16:02,"Sim, concordo em participar",27 anos ou mais,Mulher,5º,Letras inglês ,Sim,3,"Musculação, Esporte Coletivos(futebol, Voleibol, basquete, etc.), Ciclismo",7,1-2 horas,15 minutos ,"Saúde, Estética, Lazer",
16/05/2026 13:24:38,"Sim, concordo em participar",24-26 anos,Mulher,4º,Engenharia de materiais ,Não,,,,,,,Falta de interesse
16/05/2026 13:36:10,"Sim, concordo em participar",27 anos ou mais,Homem,7º,TILSP ,Não,,,,,,,Falta de tempo
16/05/2026 13:38:14,"Sim, concordo em participar",24-26 anos,Mulher,7º,Educação física ,Sim,2,"Musculação, Esporte Coletivos(futebol, Voleibol, basquete, etc.), Ciclismo",6,3-4 horas,20 minutos,"Saúde, Estética, Lazer, Desempenho Esportivo, Redução de estresse",
16/05/2026 14:09:59,"Sim, concordo em participar",24-26 anos,Mulher,8º ou mais,Engenharia e Ciência de Materiais,Não,,,,,,,Falta de tempo
16/05/2026 14:39:41,"Sim, concordo em participar",24-26 anos,Homem,5º,Ciência da computação,Sim,1,"Corrida/Caminhada, Ciclismo",3,3-4 horas,5 minutos ,"Saúde, Estética, Lazer, Redução de estresse",
16/05/2026 15:11:19,"Sim, concordo em participar",18-20 anos,Mulher,3º,Psicologia. ,Não,,,,,,,Falta de tempo
16/05/2026 15:26:46,"Sim, concordo em participar",27 anos ou mais,Não-Binário,3º,Psicologia,Sim,3,"Musculação, Esporte Coletivos(futebol, Voleibol, basquete, etc.), Ciclismo",4,3-4 horas,25,"Saúde, Lazer, Redução de estresse",Falta de tempo
16/05/2026 16:34:48,"Sim, concordo em participar",21-23 anos,Mulher,7º,Engenharia Elétrica ,Sim,3,"Musculação, Corrida/Caminhada",3,3-4 horas,20 min,"Saúde, Lazer, Redução de estresse",
16/05/2026 18:06:21,"Sim, concordo em participar",21-23 anos,Mulher,8º ou mais,Engenharia de Produção ,Sim,2,"Musculação, Esporte Coletivos(futebol, Voleibol, basquete, etc.)",5,7-8 horas,10,Saúde,
17/05/2026 13:51:30,"Sim, concordo em participar",24-26 anos,Mulher,3º,Biotecnologia ,Não,,,,,,,Falta de tempo
